Rank,Club,Country,Level,Elo,From,To
66,Lille,FRA,1,1663.31970215,2019-10-27,2019-10-30
65,Lille,FRA,1,1663.31970215,2019-10-31,2019-11-02
68,Lille,FRA,1,1655.77526855,2019-11-03,2019-11-03
67,Lille,FRA,1,1655.77526855,2019-11-04,2019-11-05
69,Lille,FRA,1,1652.16967773,2019-11-06,2019-11-06
69,Lille,FRA,1,1653.27941895,2019-11-07,2019-11-07
73,Lille,FRA,1,1649.89343262,2019-11-08,2019-11-09
76,Lille,FRA,1,1644.94665527,2019-11-10,2019-11-10
75,Lille,FRA,1,1644.94665527,2019-11-11,2019-11-22
81,Lille,FRA,1,1641.47351074,2019-11-23,2019-11-23
80,Lille,FRA,1,1641.47351074,2019-11-24,2019-11-26
79,Lille,FRA,1,1642.28393555,2019-11-27,2019-11-27
82,Lille,FRA,1,1631.03564453,2019-11-28,2019-11-28
85,Lille,FRA,1,1627.9798584,2019-11-29,2019-11-30
84,Lille,FRA,1,1631.90893555,2019-12-01,2019-12-01
85,Lille,FRA,1,1631.90893555,2019-12-02,2019-12-03
79,Lille,FRA,1,1643.11047363,2019-12-04,2019-12-05
80,Lille,FRA,1,1643.11047363,2019-12-06,2019-12-06
77,Lille,FRA,1,1647.39526367,2019-12-07,2019-12-08
76,Lille,FRA,1,1647.39526367,2019-12-09,2019-12-10
78,Lille,FRA,1,1644.87854004,2019-12-11,2019-12-11
78,Lille,FRA,1,1645.97277832,2019-12-12,2019-12-12
77,Lille,FRA,1,1649.2857666,2019-12-13,2019-12-13
70,Lille,FRA,1,1655.15209961,2019-12-14,2019-12-14
71,Lille,FRA,1,1655.15209961,2019-12-15,2019-12-15
69,Lille,FRA,1,1655.15209961,2019-12-16,2019-12-17
68,Lille,FRA,1,1655.15209961,2019-12-18,2019-12-19
69,Lille,FRA,1,1655.15209961,2019-12-20,2019-12-20
68,Lille,FRA,1,1655.15209961,2019-12-21,2019-12-21
78,Lille,FRA,1,1638.27355957,2019-12-22,2019-12-22
80,Lille,FRA,1,1638.27355957,2019-12-23,2020-01-12
85,Lille,FRA,1,1628.05236816,2020-01-13,2020-01-15
86,Lille,FRA,1,1628.05236816,2020-01-16,2020-01-18
83,Lille,FRA,1,1628.05236816,2020-01-19,2020-01-21
84,Lille,FRA,1,1628.05236816,2020-01-22,2020-01-25
86,Lille,FRA,1,1628.05236816,2020-01-26,2020-01-26
87,Lille,FRA,1,1622.97619629,2020-01-27,2020-02-01
82,Lille,FRA,1,1631.23010254,2020-02-02,2020-02-02
78,Lille,FRA,1,1631.23010254,2020-02-03,2020-02-04
75,Lille,FRA,1,1637.99438477,2020-02-05,2020-02-07
72,Lille,FRA,1,1648.40209961,2020-02-08,2020-02-08
70,Lille,FRA,1,1648.40209961,2020-02-09,2020-02-09
71,Lille,FRA,1,1648.40209961,2020-02-10,2020-02-15
72,Lille,FRA,1,1648.40209961,2020-02-16,2020-02-16
74,Lille,FRA,1,1639.92321777,2020-02-17,2020-02-18
76,Lille,FRA,1,1638.29675293,2020-02-19,2020-02-19
75,Lille,FRA,1,1638.29675293,2020-02-20,2020-02-20
78,Lille,FRA,1,1638.29675293,2020-02-21,2020-02-22
75,Lille,FRA,1,1642.4440918,2020-02-23,2020-02-23
74,Lille,FRA,1,1642.4440918,2020-02-24,2020-02-25
73,Lille,FRA,1,1642.4440918,2020-02-26,2020-02-26
70,Lille,FRA,1,1645.04272461,2020-02-27,2020-02-29
71,Lille,FRA,1,1645.04272461,2020-03-01,2020-03-01
63,Lille,FRA,1,1652.82678223,2020-03-02,2020-03-08
63,Lille,FRA,1,1660.88830566,2020-03-09,2020-03-11
62,Lille,FRA,1,1665.83532715,2020-03-12,2020-03-12
63,Lille,FRA,1,1665.83532715,2020-03-13,2020-05-24
62,Lille,FRA,1,1665.83532715,2020-05-25,2020-05-30
63,Lille,FRA,1,1665.83532715,2020-05-31,2020-06-03
62,Lille,FRA,1,1665.83532715,2020-06-04,2020-06-06
61,Lille,FRA,1,1665.83532715,2020-06-07,2020-06-21
59,Lille,FRA,1,1665.83532715,2020-06-22,2020-06-23
58,Lille,FRA,1,1665.83532715,2020-06-24,2020-06-24
59,Lille,FRA,1,1665.83532715,2020-06-25,2020-06-28
58,Lille,FRA,1,1665.83532715,2020-06-29,2020-07-05
57,Lille,FRA,1,1665.83532715,2020-07-06,2020-07-11
58,Lille,FRA,1,1665.83532715,2020-07-12,2020-07-17
57,Lille,FRA,1,1665.83532715,2020-07-18,2020-07-19
58,Lille,FRA,1,1665.83532715,2020-07-20,2020-07-23
59,Lille,FRA,1,1665.83532715,2020-07-24,2020-08-05
58,Lille,FRA,1,1665.83532715,2020-08-06,2020-08-06
59,Lille,FRA,1,1665.83532715,2020-08-07,2020-08-07
57,Lille,FRA,1,1668.51953125,2020-08-08,2020-08-08
58,Lille,FRA,1,1668.51953125,2020-08-09,2020-08-12
58,Lille,FRA,1,1670.8626709,2020-08-13,2020-08-13
56,Lille,FRA,1,1670.8626709,2020-08-14,2020-08-15
53,Lille,FRA,1,1679.07006836,2020-08-16,2020-08-16
52,Lille,FRA,1,1679.07006836,2020-08-17,2020-08-18
52,Lille,FRA,1,1683.47485352,2020-08-19,2020-08-19
52,Lille,FRA,1,1682.0559082,2020-08-20,2020-08-22
52,Lille,FRA,1,1680.12756348,2020-08-23,2020-08-23
53,Lille,FRA,1,1678.07714844,2020-08-24,2020-08-27
52,Lille,FRA,1,1678.07714844,2020-08-28,2020-08-30
51,Lille,FRA,1,1686.25598145,2020-08-31,2020-09-13
51,Lille,FRA,1,1690.17871094,2020-09-14,2020-09-14
50,Lille,FRA,1,1690.17871094,2020-09-15,2020-09-17
49,Lille,FRA,1,1692.63146973,2020-09-18,2020-09-19
50,Lille,FRA,1,1692.63146973,2020-09-20,2020-09-20
49,Lille,FRA,1,1694.2097168,2020-09-21,2020-09-24
50,Lille,FRA,1,1693.03894043,2020-09-25,2020-09-25
48,Lille,FRA,1,1699.44494629,2020-09-26,2020-10-03
47,Lille,FRA,1,1699.44494629,2020-10-04,2020-10-04
44,Lille,FRA,1,1709.97070312,2020-10-05,2020-10-17
43,Lille,FRA,1,1709.97070312,2020-10-18,2020-10-18
42,Lille,FRA,1,1716.2598877,2020-10-19,2020-10-20
44,Lille,FRA,1,1709.88916016,2020-10-21,2020-10-21
45,Lille,FRA,1,1707.63513184,2020-10-22,2020-10-22
42,Lille,FRA,1,1717.48144531,2020-10-23,2020-10-23
41,Lille,FRA,1,1717.48144531,2020-10-24,2020-10-25
43,Lille,FRA,1,1716.61743164,2020-10-26,2020-10-27
43,Lille,FRA,1,1714.34277344,2020-10-28,2020-10-28
44,Lille,FRA,1,1714.43164062,2020-10-29,2020-10-29
44,Lille,FRA,1,1709.98950195,2020-10-30,2020-10-31
45,Lille,FRA,1,1709.98950195,2020-11-01,2020-11-01
46,Lille,FRA,1,1708.67333984,2020-11-02,2020-11-03
46,Lille,FRA,1,1705.1607666,2020-11-04,2020-11-04
46,Lille,FRA,1,1700.43151855,2020-11-05,2020-11-05
40,Lille,FRA,1,1726.72766113,2020-11-06,2020-11-07
39,Lille,FRA,1,1726.72766113,2020-11-08,2020-11-08
44,Lille,FRA,1,1714.56835938,2020-11-09,2020-11-22
43,Lille,FRA,1,1719.08898926,2020-11-23,2020-11-23
44,Lille,FRA,1,1719.08898926,2020-11-24,2020-11-24
44,Lille,FRA,1,1719.88659668,2020-11-25,2020-11-25
45,Lille,FRA,1,1715.72338867,2020-11-26,2020-11-26
44,Lille,FRA,1,1711.49182129,2020-11-27,2020-11-27
45,Lille,FRA,1,1711.49182129,2020-11-28,2020-11-28
46,Lille,FRA,1,1711.49182129,2020-11-29,2020-11-29
46,Lille,FRA,1,1707.39538574,2020-11-30,2020-12-01
45,Lille,FRA,1,1710.47729492,2020-12-02,2020-12-02
45,Lille,FRA,1,1712.00183105,2020-12-03,2020-12-03
42,Lille,FRA,1,1714.95239258,2020-12-04,2020-12-05
41,Lille,FRA,1,1714.95239258,2020-12-06,2020-12-06
40,Lille,FRA,1,1719.89355469,2020-12-07,2020-12-08
40,Lille,FRA,1,1717.66357422,2020-12-09,2020-12-09
40,Lille,FRA,1,1717.41125488,2020-12-10,2020-12-10
43,Lille,FRA,1,1698.92810059,2020-12-11,2020-12-13
43,Lille,FRA,1,1703.45617676,2020-12-14,2020-12-16
41,Lille,FRA,1,1709.14807129,2020-12-17,2020-12-20
42,Lille,FRA,1,1712.66442871,2020-12-21,2020-12-21
43,Lille,FRA,1,1712.66442871,2020-12-22,2020-12-23
40,Lille,FRA,1,1718.81994629,2020-12-24,2020-12-28
41,Lille,FRA,1,1718.81994629,2020-12-29,2021-01-01
40,Lille,FRA,1,1718.81994629,2021-01-02,2021-01-06
43,Lille,FRA,1,1706.45275879,2021-01-07,2021-01-09
43,Lille,FRA,1,1709.5423584,2021-01-10,2021-01-10
44,Lille,FRA,1,1709.5423584,2021-01-11,2021-01-12
43,Lille,FRA,1,1709.5423584,2021-01-13,2021-01-17
42,Lille,FRA,1,1713.97668457,2021-01-18,2021-01-20
41,Lille,FRA,1,1713.97668457,2021-01-21,2021-01-21
42,Lille,FRA,1,1713.97668457,2021-01-22,2021-01-23
43,Lille,FRA,1,1713.97668457,2021-01-24,2021-01-24
42,Lille,FRA,1,1720.86779785,2021-01-25,2021-01-30
43,Lille,FRA,1,1720.86779785,2021-01-31,2021-01-31
41,Lille,FRA,1,1723.36279297,2021-02-01,2021-02-01
40,Lille,FRA,1,1723.36279297,2021-02-02,2021-02-03
38,Lille,FRA,1,1733.4284668,2021-02-04,2021-02-07
36,Lille,FRA,1,1738.90649414,2021-02-08,2021-02-10
37,Lille,FRA,1,1738.90649414,2021-02-11,2021-02-14
37,Lille,FRA,1,1732.81018066,2021-02-15,2021-02-16
37,Lille,FRA,1,1740.75927734,2021-02-17,2021-02-18
38,Lille,FRA,1,1730.14013672,2021-02-19,2021-02-20
37,Lille,FRA,1,1730.14013672,2021-02-21,2021-02-21
37,Lille,FRA,1,1736.06115723,2021-02-22,2021-02-25
36,Lille,FRA,1,1729.04370117,2021-02-26,2021-02-27
37,Lille,FRA,1,1729.04370117,2021-02-28,2021-02-28
38,Lille,FRA,1,1723.79980469,2021-03-01,2021-03-03
36,Lille,FRA,1,1730.7199707,2021-03-04,2021-03-10
36,Lille,FRA,1,1731.49060059,2021-03-11,2021-03-13
37,Lille,FRA,1,1731.49060059,2021-03-14,2021-03-14
37,Lille,FRA,1,1730.49926758,2021-03-15,2021-03-17
38,Lille,FRA,1,1730.49926758,2021-03-18,2021-03-21
44,Lille,FRA,1,1716.05419922,2021-03-22,2021-04-03
37,Lille,FRA,1,1728.64685059,2021-04-04,2021-04-04
36,Lille,FRA,1,1728.64685059,2021-04-05,2021-04-07
36,Lille,FRA,1,1733.25085449,2021-04-08,2021-04-09
34,Lille,FRA,1,1740.03088379,2021-04-10,2021-04-11
35,Lille,FRA,1,1740.03088379,2021-04-12,2021-04-13
35,Lille,FRA,1,1740.28564453,2021-04-14,2021-04-15
34,Lille,FRA,1,1740.28564453,2021-04-16,2021-04-16
35,Lille,FRA,1,1735.8092041,2021-04-17,2021-04-17
36,Lille,FRA,1,1735.8092041,2021-04-18,2021-04-19
37,Lille,FRA,1,1735.8092041,2021-04-20,2021-04-20
36,Lille,FRA,1,1735.8092041,2021-04-21,2021-04-21
35,Lille,FRA,1,1735.8092041,2021-04-22,2021-04-24
36,Lille,FRA,1,1735.8092041,2021-04-25,2021-04-25
34,Lille,FRA,1,1745.26220703,2021-04-26,2021-04-28
35,Lille,FRA,1,1743.56091309,2021-04-29,2021-05-01
31,Lille,FRA,1,1748.2800293,2021-05-02,2021-05-04
33,Lille,FRA,1,1746.78955078,2021-05-05,2021-05-05
32,Lille,FRA,1,1746.78955078,2021-05-06,2021-05-07
30,Lille,FRA,1,1755.34606934,2021-05-08,2021-05-08
29,Lille,FRA,1,1755.34606934,2021-05-09,2021-05-09
30,Lille,FRA,1,1755.34606934,2021-05-10,2021-05-15
29,Lille,FRA,1,1755.34606934,2021-05-16,2021-05-16
32,Lille,FRA,1,1749.5324707,2021-05-17,2021-05-19
31,Lille,FRA,1,1749.5324707,2021-05-20,2021-05-23
30,Lille,FRA,1,1753.30493164,2021-05-24,2021-07-23
31,Lille,FRA,1,1753.30493164,2021-07-24,2021-07-28
30,Lille,FRA,1,1753.30493164,2021-07-29,2021-08-03
30,Lille,FRA,1,1756.12121582,2021-08-04,2021-08-08
30,Lille,FRA,1,1751.26098633,2021-08-09,2021-08-10
30,Lille,FRA,1,1752.87219238,2021-08-11,2021-08-12
31,Lille,FRA,1,1752.87219238,2021-08-13,2021-08-13
32,Lille,FRA,1,1752.87219238,2021-08-14,2021-08-14
42,Lille,FRA,1,1726.53552246,2021-08-15,2021-08-15
41,Lille,FRA,1,1726.53552246,2021-08-16,2021-08-17
41,Lille,FRA,1,1723.55566406,2021-08-18,2021-08-19
41,Lille,FRA,1,1725.34460449,2021-08-20,2021-08-21
41,Lille,FRA,1,1721.50305176,2021-08-22,2021-08-25
41,Lille,FRA,1,1720.4888916,2021-08-26,2021-08-26
41,Lille,FRA,1,1722.51342773,2021-08-27,2021-08-29
40,Lille,FRA,1,1727.00830078,2021-08-30,2021-09-10
44,Lille,FRA,1,1714.8260498,2021-09-11,2021-09-14
44,Lille,FRA,1,1714.75378418,2021-09-15,2021-09-15
44,Lille,FRA,1,1712.66748047,2021-09-16,2021-09-16
43,Lille,FRA,1,1720.71459961,2021-09-17,2021-09-18
45,Lille,FRA,1,1710.28540039,2021-09-19,2021-09-19
44,Lille,FRA,1,1710.28540039,2021-09-20,2021-09-22
44,Lille,FRA,1,1714.8034668,2021-09-23,2021-09-25
40,Lille,FRA,1,1720.2409668,2021-09-26,2021-09-26
42,Lille,FRA,1,1720.2409668,2021-09-27,2021-09-28
40,Lille,FRA,1,1725.32116699,2021-09-29,2021-09-29
41,Lille,FRA,1,1718.50500488,2021-09-30,2021-09-30
41,Lille,FRA,1,1722.33569336,2021-10-01,2021-10-03
39,Lille,FRA,1,1730.27062988,2021-10-04,2021-10-16
41,Lille,FRA,1,1717.95324707,2021-10-17,2021-10-19
42,Lille,FRA,1,1719.42333984,2021-10-20,2021-10-20
42,Lille,FRA,1,1721.32556152,2021-10-21,2021-10-21
39,Lille,FRA,1,1729.54382324,2021-10-22,2021-10-23
40,Lille,FRA,1,1723.40612793,2021-10-24,2021-10-24
41,Lille,FRA,1,1723.40612793,2021-10-25,2021-10-29
44,Lille,FRA,1,1720.34558105,2021-10-30,2021-10-30
45,Lille,FRA,1,1720.34558105,2021-10-31,2021-10-31
43,Lille,FRA,1,1720.34558105,2021-11-01,2021-11-02
37,Lille,FRA,1,1738.4263916,2021-11-03,2021-11-03
37,Lille,FRA,1,1737.74047852,2021-11-04,2021-11-04
38,Lille,FRA,1,1738.41271973,2021-11-05,2021-11-06
40,Lille,FRA,1,1733.17456055,2021-11-07,2021-11-07
39,Lille,FRA,1,1733.17456055,2021-11-08,2021-11-19
39,Lille,FRA,1,1733.73046875,2021-11-20,2021-11-21
40,Lille,FRA,1,1733.73046875,2021-11-22,2021-11-23
36,Lille,FRA,1,1743.7253418,2021-11-24,2021-11-24
38,Lille,FRA,1,1742.11315918,2021-11-25,2021-11-25
38,Lille,FRA,1,1740.18005371,2021-11-26,2021-11-27
38,Lille,FRA,1,1735.22277832,2021-11-28,2021-11-30
37,Lille,FRA,1,1735.22277832,2021-12-01,2021-12-01
35,Lille,FRA,1,1743.94934082,2021-12-02,2021-12-04
33,Lille,FRA,1,1746.73083496,2021-12-05,2021-12-06
34,Lille,FRA,1,1746.73083496,2021-12-07,2021-12-07
33,Lille,FRA,1,1747.6340332,2021-12-08,2021-12-08
25,Lille,FRA,1,1765.90270996,2021-12-09,2021-12-09
29,Lille,FRA,1,1763.98254395,2021-12-10,2021-12-12
28,Lille,FRA,1,1762.24523926,2021-12-13,2021-12-18
29,Lille,FRA,1,1762.24523926,2021-12-19,2021-12-22
26,Lille,FRA,1,1766.33764648,2021-12-23,2021-12-28
27,Lille,FRA,1,1766.33764648,2021-12-29,2022-01-07
26,Lille,FRA,1,1766.33764648,2022-01-08,2022-01-08
27,Lille,FRA,1,1766.33764648,2022-01-09,2022-01-16
28,Lille,FRA,1,1765.22521973,2022-01-17,2022-01-19
25,Lille,FRA,1,1768.52087402,2022-01-20,2022-01-22
30,Lille,FRA,1,1751.39257812,2022-01-23,2022-02-01
31,Lille,FRA,1,1751.39257812,2022-02-02,2022-02-02
32,Lille,FRA,1,1751.39257812,2022-02-03,2022-02-05
31,Lille,FRA,1,1751.39257812,2022-02-06,2022-02-06
34,Lille,FRA,1,1740.90856934,2022-02-07,2022-02-12
32,Lille,FRA,1,1747.74829102,2022-02-13,2022-02-13
33,Lille,FRA,1,1747.74829102,2022-02-14,2022-02-15
31,Lille,FRA,1,1749.22668457,2022-02-16,2022-02-16
32,Lille,FRA,1,1749.22668457,2022-02-17,2022-02-17
32,Lille,FRA,1,1750.19091797,2022-02-18,2022-02-18
34,Lille,FRA,1,1743.9017334,2022-02-19,2022-02-20
33,Lille,FRA,1,1743.9017334,2022-02-21,2022-02-22
33,Lille,FRA,1,1739.31542969,2022-02-23,2022-02-24
34,Lille,FRA,1,1740.90087891,2022-02-25,2022-02-27
31,Lille,FRA,1,1750.64526367,2022-02-28,2022-03-05
32,Lille,FRA,1,1750.64526367,2022-03-06,2022-03-06
28,Lille,FRA,1,1756.5904541,2022-03-07,2022-03-09
29,Lille,FRA,1,1755.08996582,2022-03-10,2022-03-10
32,Lille,FRA,1,1749.37890625,2022-03-11,2022-03-11
33,Lille,FRA,1,1743.34509277,2022-03-12,2022-03-14
34,Lille,FRA,1,1743.34509277,2022-03-15,2022-03-15
33,Lille,FRA,1,1743.34509277,2022-03-16,2022-03-16
35,Lille,FRA,1,1739.74475098,2022-03-17,2022-03-17
36,Lille,FRA,1,1740.0345459,2022-03-18,2022-03-19
34,Lille,FRA,1,1746.88903809,2022-03-20,2022-04-02
35,Lille,FRA,1,1740.05200195,2022-04-03,2022-04-03
36,Lille,FRA,1,1740.05200195,2022-04-04,2022-04-07
36,Lille,FRA,1,1741.54614258,2022-04-08,2022-04-09
35,Lille,FRA,1,1741.54614258,2022-04-10,2022-04-10
36,Lille,FRA,1,1737.35192871,2022-04-11,2022-04-14
38,Lille,FRA,1,1733.43579102,2022-04-15,2022-04-16
47,Lille,FRA,1,1721.28845215,2022-04-17,2022-04-17
48,Lille,FRA,1,1721.28845215,2022-04-18,2022-04-20
49,Lille,FRA,1,1710.98120117,2022-04-21,2022-04-23
50,Lille,FRA,1,1710.98120117,2022-04-24,2022-04-24
48,Lille,FRA,1,1716.95043945,2022-04-25,2022-04-27
49,Lille,FRA,1,1716.95043945,2022-04-28,2022-04-28
49,Lille,FRA,1,1715.53918457,2022-04-29,2022-04-29
48,Lille,FRA,1,1715.53918457,2022-04-30,2022-04-30
49,Lille,FRA,1,1715.53918457,2022-05-01,2022-05-01
55,Lille,FRA,1,1695.2824707,2022-05-02,2022-05-02
56,Lille,FRA,1,1695.2824707,2022-05-03,2022-05-04
57,Lille,FRA,1,1695.2824707,2022-05-05,2022-05-05
58,Lille,FRA,1,1693.12658691,2022-05-06,2022-05-06
60,Lille,FRA,1,1684.80273438,2022-05-07,2022-05-07
58,Lille,FRA,1,1684.80273438,2022-05-08,2022-05-10
57,Lille,FRA,1,1684.80273438,2022-05-11,2022-05-14
53,Lille,FRA,1,1697.67602539,2022-05-15,2022-05-21
53,Lille,FRA,1,1696.96472168,2022-05-22,2022-05-22
54,Lille,FRA,1,1696.96472168,2022-05-23,2022-05-28
55,Lille,FRA,1,1696.96472168,2022-05-29,2022-08-02
54,Lille,FRA,1,1696.29382324,2022-08-03,2022-08-06
53,Lille,FRA,1,1696.29382324,2022-08-07,2022-08-07
52,Lille,FRA,1,1701.87365723,2022-08-08,2022-08-09
53,Lille,FRA,1,1698.94104004,2022-08-10,2022-08-12
54,Lille,FRA,1,1698.12963867,2022-08-13,2022-08-18
54,Lille,FRA,1,1696.20751953,2022-08-19,2022-08-21
58,Lille,FRA,1,1684.17700195,2022-08-22,2022-08-25
57,Lille,FRA,1,1688.94628906,2022-08-26,2022-08-26
55,Lille,FRA,1,1695.34936523,2022-08-27,2022-08-27
54,Lille,FRA,1,1695.34936523,2022-08-28,2022-08-29
53,Lille,FRA,1,1695.34936523,2022-08-30,2022-08-31
60,Lille,FRA,1,1684.96313477,2022-09-01,2022-09-02
59,Lille,FRA,1,1684.96313477,2022-09-03,2022-09-04
58,Lille,FRA,1,1693.92321777,2022-09-05,2022-09-06
58,Lille,FRA,1,1695.55615234,2022-09-07,2022-09-07
56,Lille,FRA,1,1693.63439941,2022-09-08,2022-09-08
54,Lille,FRA,1,1699.5847168,2022-09-09,2022-09-10
57,Lille,FRA,1,1693.78808594,2022-09-11,2022-09-13
61,Lille,FRA,1,1689.64404297,2022-09-14,2022-09-14
57,Lille,FRA,1,1691.2442627,2022-09-15,2022-09-15
63,Lille,FRA,1,1677.61975098,2022-09-16,2022-09-17
63,Lille,FRA,1,1681.63378906,2022-09-18,2022-09-18
62,Lille,FRA,1,1681.63378906,2022-09-19,2022-10-01
63,Lille,FRA,1,1681.63378906,2022-10-02,2022-10-02
65,Lille,FRA,1,1671.6895752,2022-10-03,2022-10-04
65,Lille,FRA,1,1676.50891113,2022-10-05,2022-10-05
65,Lille,FRA,1,1676.35217285,2022-10-06,2022-10-06
64,Lille,FRA,1,1679.7199707,2022-10-07,2022-10-07
63,Lille,FRA,1,1679.7199707,2022-10-08,2022-10-08
62,Lille,FRA,1,1679.7199707,2022-10-09,2022-10-09
58,Lille,FRA,1,1687.51123047,2022-10-10,2022-10-11
57,Lille,FRA,1,1686.08190918,2022-10-12,2022-10-12
56,Lille,FRA,1,1691.36730957,2022-10-13,2022-10-13
60,Lille,FRA,1,1675.90197754,2022-10-14,2022-10-14
56,Lille,FRA,1,1688.82543945,2022-10-15,2022-10-15
57,Lille,FRA,1,1688.82543945,2022-10-16,2022-10-16
56,Lille,FRA,1,1688.82543945,2022-10-17,2022-10-19
57,Lille,FRA,1,1688.82543945,2022-10-20,2022-10-21
58,Lille,FRA,1,1688.82543945,2022-10-22,2022-10-23
51,Lille,FRA,1,1696.23400879,2022-10-24,2022-10-25
52,Lille,FRA,1,1697.48547363,2022-10-26,2022-10-26
53,Lille,FRA,1,1695.41662598,2022-10-27,2022-10-27
52,Lille,FRA,1,1698.56262207,2022-10-28,2022-10-29
53,Lille,FRA,1,1698.56262207,2022-10-30,2022-10-30
55,Lille,FRA,1,1691.48718262,2022-10-31,2022-11-01
55,Lille,FRA,1,1689.38684082,2022-11-02,2022-11-02
55,Lille,FRA,1,1691.53039551,2022-11-03,2022-11-03
55,Lille,FRA,1,1696.94799805,2022-11-04,2022-11-05
54,Lille,FRA,1,1696.94799805,2022-11-06,2022-11-06
54,Lille,FRA,1,1696.96118164,2022-11-07,2022-11-11
53,Lille,FRA,1,1696.96118164,2022-11-12,2022-11-13
52,Lille,FRA,1,1699.76293945,2022-11-14,2022-12-27
53,Lille,FRA,1,1699.76293945,2022-12-28,2022-12-28
51,Lille,FRA,1,1706.57763672,2022-12-29,2022-12-30
52,Lille,FRA,1,1706.57763672,2022-12-31,2023-01-02
54,Lille,FRA,1,1702.74377441,2023-01-03,2023-01-11
54,Lille,FRA,1,1698.86645508,2023-01-12,2023-01-14
55,Lille,FRA,1,1698.86645508,2023-01-15,2023-01-15
53,Lille,FRA,1,1705.82128906,2023-01-16,2023-01-29
55,Lille,FRA,1,1697.3651123,2023-01-30,2023-02-01
55,Lille,FRA,1,1692.53588867,2023-02-02,2023-02-04
54,Lille,FRA,1,1706.42163086,2023-02-05,2023-02-05
53,Lille,FRA,1,1706.42163086,2023-02-06,2023-02-12
50,Lille,FRA,1,1712.49804688,2023-02-13,2023-02-14
50,Lille,FRA,1,1711.20178223,2023-02-15,2023-02-16
49,Lille,FRA,1,1713.16577148,2023-02-17,2023-02-19
51,Lille,FRA,1,1709.52587891,2023-02-20,2023-02-21
50,Lille,FRA,1,1709.52587891,2023-02-22,2023-02-23
54,Lille,FRA,1,1703.58117676,2023-02-24,2023-02-24
52,Lille,FRA,1,1706.68798828,2023-02-25,2023-02-25
51,Lille,FRA,1,1706.68798828,2023-02-26,2023-02-26
52,Lille,FRA,1,1706.68798828,2023-02-27,2023-03-04
51,Lille,FRA,1,1707.84997559,2023-03-05,2023-03-07
50,Lille,FRA,1,1707.84997559,2023-03-08,2023-03-08
52,Lille,FRA,1,1706.14160156,2023-03-09,2023-03-09
51,Lille,FRA,1,1707.24377441,2023-03-10,2023-03-10
51,Lille,FRA,1,1705.21740723,2023-03-11,2023-03-12
52,Lille,FRA,1,1705.21740723,2023-03-13,2023-03-16
52,Lille,FRA,1,1706.63232422,2023-03-17,2023-03-18
47,Lille,FRA,1,1714.58740234,2023-03-19,2023-03-19
49,Lille,FRA,1,1714.58740234,2023-03-20,2023-04-01
50,Lille,FRA,1,1714.58740234,2023-04-02,2023-04-02
49,Lille,FRA,1,1720.04309082,2023-04-03,2023-04-08
54,Lille,FRA,1,1705.99145508,2023-04-09,2023-04-09
53,Lille,FRA,1,1705.99145508,2023-04-10,2023-04-13
53,Lille,FRA,1,1706.09729004,2023-04-14,2023-04-16
53,Lille,FRA,1,1709.85229492,2023-04-17,2023-04-20
53,Lille,FRA,1,1703.38916016,2023-04-21,2023-04-22
54,Lille,FRA,1,1699.37597656,2023-04-23,2023-04-29
54,Lille,FRA,1,1702.73706055,2023-04-30,2023-04-30
53,Lille,FRA,1,1702.73706055,2023-05-01,2023-05-06
54,Lille,FRA,1,1693.35644531,2023-05-07,2023-05-08
55,Lille,FRA,1,1693.35644531,2023-05-09,2023-05-14
53,Lille,FRA,1,1694.36816406,2023-05-15,2023-05-17
54,Lille,FRA,1,1694.36816406,2023-05-18,2023-05-19
55,Lille,FRA,1,1694.36816406,2023-05-20,2023-05-20
51,Lille,FRA,1,1702.55505371,2023-05-21,2023-05-27
51,Lille,FRA,1,1705.77429199,2023-05-28,2023-06-03
52,Lille,FRA,1,1700.35180664,2023-06-04,2023-06-04
53,Lille,FRA,1,1700.35180664,2023-06-05,2023-07-22
54,Lille,FRA,1,1700.35180664,2023-07-23,2023-07-29
53,Lille,FRA,1,1700.35180664,2023-07-30,2023-08-09
53,Lille,FRA,1,1698.28369141,2023-08-10,2023-08-11
53,Lille,FRA,1,1698.31494141,2023-08-12,2023-08-15
53,Lille,FRA,1,1697.22583008,2023-08-16,2023-08-19
54,Lille,FRA,1,1697.22583008,2023-08-20,2023-08-20
51,Lille,FRA,1,1701.57739258,2023-08-21,2023-08-24
50,Lille,FRA,1,1701.9642334,2023-08-25,2023-08-26
51,Lille,FRA,1,1701.9642334,2023-08-27,2023-08-27
55,Lille,FRA,1,1684.73791504,2023-08-28,2023-08-29
56,Lille,FRA,1,1684.73791504,2023-08-30,2023-08-31
57,Lille,FRA,1,1686.90515137,2023-09-01,2023-09-02
58,Lille,FRA,1,1686.90515137,2023-09-03,2023-09-03
57,Lille,FRA,1,1691.51806641,2023-09-04,2023-09-16
57,Lille,FRA,1,1693.3963623,2023-09-17,2023-09-18
58,Lille,FRA,1,1693.3963623,2023-09-19,2023-09-19
57,Lille,FRA,1,1697.23876953,2023-09-20,2023-09-20
55,Lille,FRA,1,1700.21594238,2023-09-21,2023-09-21
51,Lille,FRA,1,1704.89379883,2023-09-22,2023-09-23
52,Lille,FRA,1,1704.89379883,2023-09-24,2023-09-26
56,Lille,FRA,1,1693.01000977,2023-09-27,2023-10-01
53,Lille,FRA,1,1700.171875,2023-10-02,2023-10-03
